Reporter,Partner,Period,Flow,Value,Unit
United Kingdom,Asia-Pacific,Dec 2021,Exports,177999.0,USD millions
Kenya,Europe,2020,Exports,738.8,USD millions
China,South America,Dec 2021,Exports,599624.6,USD millions
China,Asia-Pacific,2020-12-31,Exports,595519.2,USD millions
UK,World,2019-12-31,Exports,"496,115.1",USD millions
Canada,Africa,2022,Exports,62243.6,USD millions
Nigeria,Asia-Pacific,2023-12-31,Exports,"5,660.5",USD millions
India,North America,Dec 2019,Exports,79489.4,USD millions
South Africa,World,31/12/2020,Exports,108370.1,USD millions
China,North America,31/12/2020,Exports,907170.1,USD millions
Australia,Asia-Pacific,2023,Exports,30940.1,USD millions
Vietnam,Africa,Dec 2019,Exports,97222.5,USD millions
Japan,Africa,2023-12-31,Exports,216978.7,USD millions
Japan,Europe,2020,Exports,90581.0,USD millions
Brazil,Asia-Pacific,Dec 2021,Exports,43433.9,USD millions
Australia,Europe,2023,Exports,91237.3,USD millions
U.S.,Asia-Pacific,2021-12-31,Exports,119477.4,USD millions
United Kingdom,South America,31/12/2020,Exports,164531.3,USD millions
Japan,Europe,2022-12-31,Exports,222314.6,USD millions
Mexico,Asia-Pacific,2023-12-31,Exports,39140.2,USD millions
UK,Asia-Pacific,Dec 2023,Exports,"123,229.5",USD millions
Nigeria,World,Dec 2020,Exports,"54,145.6",USD millions
Nigeria,World,31/12/2019,Exports,"50,622.6",USD millions
Mexico,North America,31/12/2022,Exports,-187486.8,USD millions
Federal Republic of Germany,North America,2022,Exports,416999.8,USD millions
Australia,World,2021-12-31,Exports,361410.5,USD millions
Japan,Asia-Pacific,2020,Exports,52133.2,USD millions
germany,North America,31/12/2021,Exports,548359.5,USD millions
Nigeria,North America,2020-12-31,Exports,11462.7,USD millions
India,Europe,2019-12-31,Exports,107273.0,USD millions
Brazil,Africa,2019,Exports,21721.4,USD millions
Germany,North America,2020,Exports,479120.2,USD millions
Mexico,Africa,2020-12-31,Exports,61156.6,USD millions
South Africa,South America,2022,Exports,8049.6,USD millions
China,North America,2023-12-31,Exports,542870.9,USD millions
China,Europe,Dec 2023,Exports,393550.3,USD millions
United Kingdom,North America,2020-12-31,Exports,44117.6,USD millions
U.S.,South America,Dec 2020,Exports,187525.1,USD millions
Brazil,Europe,2019,Exports,16347.9,USD millions
India,World,2019-12-31,Exports,"369,006.8",USD millions
India,Africa,2022-12-31,Exports,108324.8,USD millions
Kenya,Africa,2019,Exports,1167.7,USD millions
India,World,2021,Exports,445226.8,USD millions
Kenya,North America,31/12/2023,Exports,2062.1,USD millions
Nigeria,Asia-Pacific,31/12/2019,Exports,18516.7,USD millions
Kenya,Asia-Pacific,2019,Exports,1298.9,USD millions
Brazil,Europe,Dec 2023,Exports,"43,234.3",USD millions
South Africa,Europe,31/12/2020,Exports,16850.0,USD millions
China,Europe,31/12/2020,Exports,179800.6,USD millions
Kenya,World,Dec 2023,Exports,8646.5,USD millions
China,Asia-Pacific,Dec 2022,Exports,288085.6,USD millions
Japan,North America,31/12/2022,Exports,134908.8,USD millions
Canada,Europe,31/12/2019,Exports,149807.5,USD millions
China,World,Dec 2020,Exports,2822532.4,USD millions
China,Africa,2020,Exports,535850.3,USD millions
germany,Africa,Dec 2020,Exports,"158,481.1",USD millions
Nigeria,North America,2019-12-31,Exports,9957.2,USD millions
Japan,South America,31/12/2023,Exports,121161.5,USD millions
Canada,South America,Dec 2020,Exports,50535.1,USD millions
Mexico,World,2021,Exports,n/a,USD millions
United States,World,31/12/2019,Exports,1790755.6,USD millions
Viet Nam,South America,31/12/2019,Exports,"67,215.9",USD millions
Brazil,World,2023,Exports,"314,718.9",USD millions
Japan,South America,2020,Exports,161737.8,USD millions
USA,North America,2022,Exports,661167.2,USD millions
Federal Republic of Germany,South America,2023,Exports,361658.2,USD millions
Japan,Europe,31/12/2019,Exports,229095.6,USD millions
Viet Nam,Africa,2022-12-31,Exports,88123.8,USD millions
Australia,Europe,2019-12-31,Exports,,USD millions
China,South America,Dec 2022,Exports,"1,369,975.8",USD millions
Brazil,Europe,31/12/2022,Exports,24830.3,USD millions
South Africa,Europe,Dec 2021,Exports,13610.7,USD millions
Kenya,North America,2022,Exports,1769.0,USD millions
Nigeria,Asia-Pacific,31/12/2022,Exports,9461.8,USD millions
Mexico,Asia-Pacific,2019-12-31,Exports,63050.6,USD millions
U.K.,Europe,Dec 2023,Exports,201361.9,USD millions
Kenya,Africa,31/12/2022,Exports,2433.2,USD millions
U.K.,North America,Dec 2022,Exports,202612.7,USD millions
U.S.,Europe,31/12/2020,Exports,212431.7,USD millions
Japan,World,2020,Exports,"623,441.4",USD millions
India,World,31/12/2023,Exports,481270.3,USD millions
South Africa,Africa,2020,Exports,26966.1,USD millions
China,North America,2021,Exports,"667,393.7",USD millions
Nigeria,South America,Dec 2021,Exports,20624.8,USD millions
Mexico,Asia-Pacific,Dec 2022,Exports,167179.9,USD millions
India,South America,2019-12-31,Exports,"132,738.6",USD millions
Brazil,Africa,Dec 2021,Exports,-46171.1,USD millions
Australia,World,31/12/2019,Exports,287547.1,USD millions
United Kingdom,Asia-Pacific,31/12/2022,Exports,175921.2,USD millions
U.S.,Europe,2021,Exports,,USD millions
Australia,World,2022-12-31,Exports,"396,233.8",USD millions
Kenya,Europe,31/12/2019,Exports,1537.9,USD millions
germany,North America,31/12/2021,Exports,548359.5,USD millions
Brazil,Africa,31/12/2022,Exports,26918.6,USD millions
Australia,North America,Dec 2020,Exports,65765.2,USD millions
Mexico,Asia-Pacific,Dec 2021,Exports,,USD millions
Canada,World,2019,Exports,"517,087.3",USD millions
India,South America,2020,Exports,57661.2,USD millions
Kenya,World,31/12/2022,Exports,9140.7,USD millions
Mexico,North America,2021-12-31,Exports,60612.6,USD millions
Brazil,North America,2021,Exports,,USD millions
Kenya,Europe,2022-12-31,Exports,1145.2,USD millions
Nigeria,South America,Dec 2022,Exports,n/a,USD millions
Kenya,South America,31/12/2021,Exports,682.0,USD millions
Kenya,Europe,2023-12-31,Exports,"2,207.0",USD millions
Brazil,Africa,31/12/2020,Exports,28044.6,USD millions
Germany,World,31/12/2019,Exports,,USD millions
Japan,Asia-Pacific,Dec 2023,Exports,75969.1,USD millions
Japan,Europe,2021,Exports,105851.1,USD millions
Nigeria,South America,2020-12-31,Exports,13349.9,USD millions
USA,Europe,Dec 2023,Exports,451983.3,USD millions
Mexico,Europe,Dec 2022,Exports,51954.0,USD millions
Australia,Europe,2023,Exports,91237.3,USD millions
Federal Republic of Germany,Africa,31/12/2022,Exports,198415.7,USD millions
India,Europe,2022,Exports,,USD millions
Federal Republic of Germany,North America,31/12/2019,Exports,505787.4,USD millions
India,Asia-Pacific,31/12/2021,Exports,146212.9,USD millions
Mexico,South America,2020,Exports,115902.6,USD millions
Brazil,Asia-Pacific,Dec 2020,Exports,51705800.0,USD thousands
Canada,World,31/12/2023,Exports,624239.6,USD millions
Mexico,Europe,2021-12-31,Exports,74766.2,USD millions
Mexico,World,2019,Exports,538802.2,USD millions
Mexico,World,Dec 2022,Exports,"616,277.7",USD millions
Canada,Asia-Pacific,31/12/2022,Exports,165677.7,USD millions
U.K.,South America,2023-12-31,Exports,186392.1,USD millions
Australia,South America,2019,Exports,83629.8,USD millions
Australia,North America,Dec 2023,Exports,115321.0,USD millions
South Africa,World,2022,Exports,150774.8,USD millions
Nigeria,North America,2021,Exports,"17,578.2",USD millions
Canada,Africa,Dec 2021,Exports,n/a,USD millions
South Africa,Asia-Pacific,Dec 2020,Exports,28287.4,USD millions
United Kingdom,Africa,Dec 2023,Exports,163009.5,USD millions
United Kingdom,Europe,2020,Exports,133036.6,USD millions
India,North America,31/12/2023,Exports,88840.9,USD millions
Mexico,World,2020,Exports,,USD millions
germany,Europe,31/12/2020,Exports,236551.1,USD millions
United States,Asia-Pacific,Dec 2020,Exports,161837.6,USD millions
Kenya,South America,31/12/2020,Exports,1876.6,USD millions
Brazil,North America,Dec 2022,Exports,71102.1,USD millions
United Kingdom,Africa,2021,Exports,119609.5,USD millions
Mexico,North America,2023,Exports,221725.5,USD millions
Mexico,Europe,2023-12-31,Exports,58390.8,USD millions
India,South America,2022,Exports,"40,203.9",USD millions
united states ,World,2021,Exports,n/a,USD millions
China,World,31/12/2023,Exports,3948611.1,USD millions
Nigeria,Europe,31/12/2022,Exports,18402.7,USD millions
Nigeria,Europe,31/12/2023,Exports,"7,350.8",USD millions
Mexico,Africa,Dec 2023,Exports,44701.7,USD millions
Viet Nam,North America,2022,Exports,127185.0,USD millions
Australia,World,2020,Exports,,USD millions
Kenya,South America,Dec 2022,Exports,2642.1,USD millions
USA,South America,31/12/2019,Exports,325201.6,USD millions
Germany,Europe,2021,Exports,401032.0,USD millions
Brazil,Asia-Pacific,2019-12-31,Exports,61419.1,USD millions
South Africa,South America,Dec 2023,Exports,44844.7,USD millions
Kenya,North America,31/12/2021,Exports,1122.1,USD millions
Kenya,World,2019,Exports,6598.3,USD millions
South Africa,Asia-Pacific,2019,Exports,12266.2,USD millions
Mexico,North America,Dec 2020,Exports,90503.1,USD millions
Vietnam,South America,Dec 2022,Exports,109958.0,USD millions
Canada,World,31/12/2020,Exports,440486.1,USD millions
Viet Nam,World,Dec 2021,Exports,371022.0,USD millions
united states ,Asia-Pacific,2022,Exports,552249.0,USD millions
Australia,Asia-Pacific,2021,Exports,26194.6,USD millions
UK,Europe,Dec 2021,Exports,182899.7,USD millions
South Africa,Africa,2022-12-31,Exports,33598.0,USD millions
Japan,Asia-Pacific,Dec 2021,Exports,160918.8,USD millions
U.K.,World,2021-12-31,Exports,520309.3,USD millions
China,Asia-Pacific,2019,Exports,688213.5,USD millions
South Africa,North America,Dec 2022,Exports,38507.1,USD millions
United States,South America,Dec 2021,Exports,341270.2,USD millions
Nigeria,North America,31/12/2022,Exports,13946.5,USD millions
Mexico,Europe,2020,Exports,57278.4,USD millions
U.K.,Asia-Pacific,2019,Exports,73232.8,USD millions
Kenya,North America,31/12/2019,Exports,2324.3,USD millions
Brazil,South America,2022,Exports,51440.9,USD millions
Canada,North America,2022-12-31,Exports,41170.4,USD millions
Brazil,World,31/12/2019,Exports,266603.9,USD millions
Viet Nam,South America,2020,Exports,"31,431.7",USD millions
United States,Asia-Pacific,2023,Exports,652091.0,USD millions
Canada,Europe,31/12/2020,Exports,"57,698.7",USD millions
Brazil,North America,2023-12-31,Exports,"71,664.8",USD millions
Canada,Europe,2023,Exports,174207.0,USD millions
United States,Asia-Pacific,Dec 2019,Exports,236306.2,USD millions
Kenya,South America,31/12/2019,Exports,"1,289.3",USD millions
Mexico,Africa,2019-12-31,Exports,57660.6,USD millions
USA,South America,31/12/2022,Exports,633775.5,USD millions
Japan,South America,2021,Exports,166698.2,USD millions
germany,Europe,31/12/2022,Exports,652870.9,USD millions
Kenya,South America,Dec 2022,Exports,2642.1,USD millions
Japan,World,2023-12-31,Exports,838316.3,USD millions
Japan,Europe,Dec 2023,Exports,256107.6,USD millions
Brazil,Africa,Dec 2023,Exports,26440.4,USD millions
China,North America,31/12/2019,Exports,573170.1,USD millions
India,Europe,Dec 2023,Exports,48287.5,USD millions
Japan,Africa,2020-12-31,Exports,112391.2,USD millions
Brazil,South America,Dec 2021,Exports,28136.9,USD millions
Viet Nam,North America,Dec 2021,Exports,"109,926.6",USD millions
germany,South America,Dec 2021,Exports,284767.4,USD millions
UK,World,2022-12-31,Exports,551051.2,USD millions
Kenya,Asia-Pacific,Dec 2021,Exports,1714.1,USD millions
Japan,North America,2019-12-31,Exports,100960.7,USD millions
India,World,2022-12-31,Exports,"491,368.4",USD millions
Canada,North America,2023-12-31,Exports,"177,549.0",USD millions
United States,Europe,Dec 2019,Exports,283164.2,USD millions
United States,North America,2020,Exports,412500.5,USD millions
Canada,Africa,2020,Exports,109582.7,USD millions
Australia,Africa,Dec 2019,Exports,78991.8,USD millions
Australia,South America,2022,Exports,44637.8,USD millions
Viet Nam,Africa,31/12/2023,Exports,69420.8,USD millions
Brazil,World,31/12/2022,Exports,"334,123.0",USD millions
Brazil,South America,2023-12-31,Exports,"37,534.2",USD millions
Viet Nam,World,2022,Exports,450424.4,USD millions
Kenya,Asia-Pacific,2020-12-31,Exports,512.9,USD millions
India,Africa,31/12/2020,Exports,28728.8,USD millions
united states ,Africa,31/12/2021,Exports,289383.2,USD millions
South Africa,Asia-Pacific,31/12/2022,Exports,"35,250.2",USD millions
Japan,Africa,2019-12-31,Exports,85454.7,USD millions
Federal Republic of Germany,Africa,31/12/2023,Exports,"530,248.9",USD millions
Australia,Asia-Pacific,2022-12-31,Exports,105723.7,USD millions
Canada,South America,2023,Exports,148435.5,USD millions
South Africa,Asia-Pacific,2023,Exports,17876.4,USD millions
Brazil,North America,Dec 2022,Exports,71102.1,USD millions
