iso3,year,product_code,avg_mfn_tariff_pct
IND,2021,OTH,7.87
IND,2022,AGR,13.13
IND,2022,FUE,8.33
IND,2022,MAN,8.49
IND,2022,OTH,8.41
IND,2023,AGR,13.63
IND,2023,FUE,8.08
IND,2023,MAN,7.9
IND,2023,OTH,8.02
JPN,2019,AGR,11.77
JPN,2019,FUE,6.63
JPN,2019,MAN,6.5
JPN,2019,OTH,6.54
JPN,2020,AGR,11.94
JPN,2020,FUE,7.2
JPN,2020,MAN,7.21
JPN,2020,OTH,6.58
JPN,2021,AGR,11.77
JPN,2021,FUE,7.65
JPN,2021,MAN,7.79
JPN,2021,OTH,6.91
JPN,2022,AGR,10.74
JPN,2022,FUE,6.73
JPN,2022,MAN,7.61
JPN,2022,OTH,7.5
JPN,2023,AGR,12.09
JPN,2023,FUE,7.8
JPN,2023,MAN,7.28
JPN,2023,OTH,6.45
KEN,2019,AGR,18.24
KEN,2019,FUE,12.44
KEN,2019,MAN,
KEN,2019,OTH,12.84
KEN,2020,AGR,18.75
KEN,2020,FUE,
KEN,2020,MAN,12.54
KEN,2020,OTH,11.76
KEN,2021,AGR,18.63
KEN,2021,FUE,12.62
KEN,2021,MAN,10.96
KEN,2021,OTH,11.13
KEN,2022,AGR,19.79
KEN,2022,FUE,12.34
KEN,2022,MAN,11.81
KEN,2022,OTH,12.56
KEN,2023,AGR,18.86
KEN,2023,FUE,12.38
KEN,2023,MAN,
KEN,2023,OTH,11.7
MEX,2019,AGR,3.21
MEX,2019,FUE,1.94
MEX,2019,MAN,
MEX,2019,OTH,2.2
MEX,2020,AGR,3.27
MEX,2020,FUE,2.09
MEX,2020,MAN,2.22
MEX,2020,OTH,
MEX,2021,AGR,3.03
MEX,2021,FUE,2.24
MEX,2021,MAN,2.12
MEX,2021,OTH,2.06
MEX,2022,AGR,3.03
MEX,2022,FUE,2.22
MEX,2022,MAN,2.23
MEX,2022,OTH,1.92
MEX,2023,AGR,3.18
MEX,2023,FUE,2.1
MEX,2023,MAN,2.01
MEX,2023,OTH,2.02
NGA,2019,AGR,12.0
NGA,2019,FUE,8.79
NGA,2019,MAN,8.5
NGA,2019,OTH,8.64
NGA,2020,AGR,12.08
NGA,2020,FUE,8.29
NGA,2020,MAN,8.38
NGA,2020,OTH,8.57
NGA,2021,AGR,13.66
NGA,2021,FUE,8.04
NGA,2021,MAN,8.23
NGA,2021,OTH,8.33
NGA,2022,AGR,13.33
NGA,2022,FUE,7.42
NGA,2022,MAN,7.81
NGA,2022,OTH,7.4
NGA,2023,AGR,12.51
NGA,2023,FUE,7.41
NGA,2023,MAN,7.44
NGA,2023,OTH,8.7
GBR,2019,AGR,12.84
GBR,2019,FUE,8.56
GBR,2019,MAN,8.0
GBR,2019,OTH,8.33
GBR,2020,AGR,12.87
GBR,2020,FUE,7.38
GBR,2020,MAN,8.73
GBR,2020,OTH,8.43
GBR,2021,AGR,12.09
GBR,2021,FUE,7.98
GBR,2021,MAN,8.12
GBR,2021,OTH,7.88
GBR,2022,AGR,12.7
GBR,2022,FUE,8.24
GBR,2022,MAN,8.32
GBR,2022,OTH,7.43
GBR,2023,AGR,12.38
GBR,2023,FUE,8.34
GBR,2023,MAN,8.69
GBR,2023,OTH,8.22
USA,2019,AGR,10.84
USA,2019,FUE,6.06
USA,2019,MAN,6.74
USA,2019,OTH,6.04
USA,2020,AGR,10.54
USA,2020,FUE,6.61
USA,2020,MAN,6.43
USA,2020,OTH,6.38
USA,2021,AGR,9.64
USA,2021,FUE,5.8
USA,2021,MAN,6.75
USA,2021,OTH,5.86
USA,2022,AGR,9.08
USA,2022,FUE,5.7
USA,2022,MAN,6.61
USA,2022,OTH,5.62
USA,2023,AGR,10.44
USA,2023,FUE,6.05
USA,2023,MAN,6.61
USA,2023,OTH,6.58
VNM,2019,AGR,11.4
VNM,2019,FUE,6.87
VNM,2019,MAN,6.94
VNM,2019,OTH,7.18
VNM,2020,AGR,11.16
VNM,2020,FUE,7.21
VNM,2020,MAN,7.06
VNM,2020,OTH,7.95
VNM,2021,AGR,11.1
VNM,2021,FUE,7.29
VNM,2021,MAN,7.71
VNM,2021,OTH,6.73
VNM,2022,AGR,11.93
VNM,2022,FUE,7.33
VNM,2022,MAN,7.75
VNM,2022,OTH,6.94
VNM,2023,AGR,11.08
VNM,2023,FUE,6.74
VNM,2023,MAN,7.9
VNM,2023,OTH,7.18
ZAF,2019,AGR,3.38
ZAF,2019,FUE,2.2
ZAF,2019,MAN,
ZAF,2019,OTH,2.52
ZAF,2020,AGR,3.82
ZAF,2020,FUE,2.15
ZAF,2020,MAN,2.47
ZAF,2020,OTH,2.15
ZAF,2021,AGR,
ZAF,2021,FUE,2.12
ZAF,2021,MAN,2.48
ZAF,2021,OTH,2.43
ZAF,2022,AGR,3.42
ZAF,2022,FUE,
ZAF,2022,MAN,2.28
ZAF,2022,OTH,2.3
ZAF,2023,AGR,4.01
ZAF,2023,FUE,2.1
ZAF,2023,MAN,2.2
ZAF,2023,OTH,2.29
